location[plate]	cellline	cellline[HMSLid]	treatmentfile	treatmentfile[DesignNumber]	untrt	location[well]	cellcount	Nuclei_LDR_NumberOfObjects	Nuclei_Hoechst_LDRpos_NumberOfObjects	readout[timestamp]	drug1[timestamp]	drug1	drug1[HMSLid]	drug1[conc]=uM	drug2[timestamp]	drug2	drug2[HMSLid]	drug2[conc]=uM	pert_type
MN20141030_B_01	BT20	HMSL50105	-	0	1	F01	1498	16	95	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F02	1559	11	65	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F03	1520	22	89	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F04	1598	28	87	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F05	1629	23	90	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F06	1601	23	69	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F07	1530	25	91	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F08	1559	26	93	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F09	1698	18	99	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F10	1582	25	90	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F11	1633	21	73	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F12	1682	36	82	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F13	1673	30	86	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F14	1613	26	84	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F15	1716	31	105	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F16	1725	34	102	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F17	1747	27	90	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F18	1686	30	89	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F19	1672	23	85	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F20	1639	22	100	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F21	1597	30	100	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F22	1440	24	89	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F23	1511	21	113	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	F24	1509	31	87	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G01	975	13	68	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G02	1153	17	61	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
