	P2_A1	P2_A2	P2_A3	P2_A4	P2_A5	P2_A6	P2_A7	P2_A8	P2_A9	P2_A10	P2_A11	P2_A12	P2_A13	P2_A14	P2_A15	P2_A16	P2_A17	P2_A18	P2_A19	P2_A20	P2_A21	P2_A22	P2_A23	P2_A24	P2_B1	P2_B2	P2_B3	P2_B4	P2_B5	P2_B6	P2_B7	P2_B8	P2_B9	P2_B10	P2_B11	P2_B12	P2_B13	P2_B14	P2_B15	P2_B16	P2_B17	P2_B18	P2_B19	P2_B20	P2_B21	P2_B22	P2_B23	P2_B24	P2_C1	P2_C2	P2_C3	P2_C4	P2_C5	P2_C6	P2_C7	P2_C8	P2_C9	P2_C10	P2_C11	P2_C12	P2_C13	P2_C14	P2_C15	P2_C16	P2_C17	P2_C18	P2_C19	P2_C20	P2_C21	P2_C22	P2_C23	P2_C24	P2_D1	P2_D2	P2_D3	P2_D4	P2_D5	P2_D6	P2_D7
ABHD14A	7	6	1	0	9	2	1	0	0	2	6	5	2	2	0	0	0	0	0	0	0	0	0	0	1	6	2	5	4	2	0	1	0	2	6	4	7	5	0	0	0	0	0	0	0	0	0	0	0	1	1	5	3	12	4	1	3	9	1	0	3	2	0	0	0	0	0	0	0	0	0	0	2	7	6	7	1	4	4
ABHD14A-ACY1	6	1	1	4	2	3	11	2	7	5	1	3	0	12	0	0	0	0	0	0	0	0	0	0	2	6	3	2	4	0	10	3	0	7	3	11	3	0	0	0	0	0	0	0	0	0	0	0	5	4	1	2	2	11	1	3	3	8	0	0	8	4	0	0	0	0	0	0	0	0	0	0	1	4	2	6	3	6	4
ABHD14B	11	3	6	32	19	5	12	5	13	32	5	14	5	44	0	0	0	0	0	0	0	0	0	0	16	20	13	5	18	3	28	15	7	23	15	27	7	24	0	0	0	0	0	0	0	0	0	0	5	20	12	19	9	17	17	2	24	27	3	0	24	2	0	0	0	0	0	0	0	0	0	0	8	35	18	26	1	16	4
ABHD15	13	3	5	8	5	2	1	7	7	5	4	10	4	3	0	0	0	0	0	0	0	0	0	0	9	13	3	4	2	2	8	1	1	2	4	15	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	7	11	4	2	4	2	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1
ABHD16A	64	9	13	26	21	13	10	29	7	29	16	19	42	31	0	0	0	0	0	0	0	0	0	0	65	6	8	37	13	47	14	18	10	23	21	37	12	16	0	0	0	0	0	0	0	0	0	0	7	9	11	12	19	33	5	14	11	28	0	8	28	2	0	0	0	0	0	0	0	0	0	0	10	13	15	6	5	24	3
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ABHD17A	4	0	0	5	4	1	1	4	0	7	2	3	2	1	0	0	0	0	0	0	0	0	0	0	4	3	5	10	2	4	0	5	2	1	8	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	5	2	4	1	2	0	3	4	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	7	1	6	1
ABHD17B	5	8	0	4	7	2	2	8	6	6	4	15	2	0	0	0	0	0	0	0	0	0	0	0	8	6	4	4	10	9	1	2	2	12	1	7	2	0	0	0	0	0	0	0	0	0	0	0	1	5	2	2	1	4	6	2	2	1	4	1	2	1	0	0	0	0	0	0	0	0	0	0	2	1	1	10	3	2	8
ABHD17C	4	3	0	2	5	4	4	7	6	9	1	3	1	7	0	0	0	0	0	0	0	0	0	0	2	12	6	1	5	0	7	20	4	46	19	16	0	0	0	0	0	0	0	0	0	0	0	0	8	6	26	23	14	2	1	6	6	0	1	10	7	2	0	0	0	0	0	0	0	0	0	0	6	4	3	12	11	5	0
ABHD2	27	24	6	7	18	25	6	14	22	48	7	27	8	13	0	0	0	0	0	0	0	0	0	0	22	37	23	14	21	15	9	10	3	32	14	39	26	9	0	0	0	0	0	0	0	0	0	0	8	10	24	21	8	65	14	37	34	16	5	13	4	11	0	0	0	0	1	0	0	0	0	0	14	32	7	21	17	8	10
ABHD3	7	4	1	3	4	9	0	6	6	3	6	8	1	1	0	0	0	0	0	0	0	0	0	0	15	9	5	9	8	4	2	6	2	3	2	11	3	0	0	0	0	0	0	0	0	0	0	0	1	12	1	3	2	3	0	7	7	6	1	4	6	1	0	0	0	0	0	0	0	0	0	0	4	7	3	6	5	2	3
ABHD4	27	1	8	13	10	7	2	1	6	23	9	9	8	6	0	0	0	0	0	0	0	0	0	0	1	3	4	5	20	9	6	8	2	34	12	23	3	0	0	0	0	0	0	0	0	0	0	0	5	8	7	9	12	5	3	21	20	36	7	21	10	12	0	0	0	0	0	0	0	0	0	0	21	17	23	45	14	9	7
ABHD5	103	4	9	32	49	25	30	21	28	35	18	40	22	23	0	0	0	0	0	0	1	0	0	0	42	32	29	24	21	18	21	32	10	63	38	48	10	10	0	0	0	0	0	0	0	0	0	0	12	26	36	43	14	24	14	32	15	29	19	9	39	37	0	0	0	0	0	0	0	0	0	1	12	12	16	92	6	29	41
ABHD6	4	1	2	0	4	2	4	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	2	4	2	3	1	2	1	1	1	2	6	11	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	4	10	0	2	7	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	2	1	2	2	2
ABHD8	0	0	0	3	5	0	0	0	0	5	0	3	1	1	0	0	0	0	0	0	0	0	0	0	2	1	3	3	0	3	0	1	0	0	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	0	3	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0
ABI1	2	0	0	0	2	1	2	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	2	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0
ABI2	50	43	13	10	31	27	18	14	25	78	20	59	18	18	0	0	0	0	0	0	1	0	0	0	22	31	46	39	35	36	22	15	19	29	14	30	13	20	0	0	0	0	0	0	0	0	0	0	3	46	16	11	16	49	24	44	39	23	9	8	9	10	0	0	0	0	0	0	0	0	0	0	21	46	21	46	5	7	15
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	9	0	0	0	1	2	0	0	1	3	11	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	11	2	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1
